INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 40800, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 7.5, actual clock drifts: [-3.9512723402734222, -4.148937916848881, -0.9329400316327217, -4.297257875238561, 1.0199080657976616, -1.292235710970556, 2.033855390776285, -4.105479859037723, 0.6778040998091814, 7.056106039397859]
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [0, 4, 4, 0, 7, 0, 0, 1, 0, 1], "hlc": [921709, 8]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 8, "vc": [5, 8, 11, 0, 6, 7, 8, 6, 1, 5], "hlc": [921711, 6]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 3, "vc": [2, 4, 6, 1, 5, 3, 3, 9, 7, 1], "hlc": [921709, 11]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 9, "vc": [2, 1, 0, 1, 0, 3, 3, 0, 9, 0], "hlc": [921706, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 3, "vc": [0, 4, 4, 3, 4, 2, 0, 1, 0, 8], "hlc": [921712, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [7, 9, 4, 1, 4, 7, 4, 3, 8, 5], "hlc": [921711, 5]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [8, 9, 4, 1, 7, 7, 4, 3, 8, 5], "hlc": [921711, 6]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 3, "vc": [0, 10, 1, 6, 0, 7, 5, 3, 0, 3], "hlc": [921710, 7]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 7, "vc": [2, 6, 6, 7, 5, 3, 5, 9, 7, 1], "hlc": [921709, 12]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 9, "vc": [2, 6, 6, 8, 5, 3, 5, 9, 7, 8], "hlc": [921712, 2]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 6, "vc": [5, 8, 11, 1, 6, 7, 8, 6, 10, 5], "hlc": [921711, 7]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 8, "vc": [2, 4, 4, 3, 4, 3, 3, 1, 9, 9], "hlc": [921713, 0]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 2, "vc": [9, 9, 4, 1, 7, 7, 4, 3, 8, 5], "hlc": [921711, 7]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 8, "vc": [0, 11, 1, 6, 0, 7, 5, 3, 0, 3], "hlc": [921710, 8]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 0, "vc": [2, 5, 7, 3, 5, 11, 3, 8, 7, 7], "hlc": [921712, 2]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [5, 8, 11, 0, 6, 7, 9, 6, 1, 5], "hlc": [921711, 7]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 7, "vc": [5, 8, 11, 1, 6, 7, 8, 6, 11, 5], "hlc": [921711, 8]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 5, "vc": [10, 9, 7, 3, 7, 11, 4, 8, 8, 7], "hlc": [921712, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 0, "vc": [9, 9, 12, 1, 7, 7, 4, 6, 8, 5], "hlc": [921711, 8]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [9, 9, 13, 1, 7, 7, 9, 6, 8, 5], "hlc": [921711, 9]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 8, "vc": [5, 8, 11, 1, 6, 7, 8, 10, 11, 5], "hlc": [921711, 9]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 1, "vc": [5, 11, 11, 6, 6, 7, 8, 6, 12, 5], "hlc": [921711, 9]}
