INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 43800, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 6.5, actual clock drifts: [4.118339347654729, 5.697516715882557, -5.709503533408842, 3.70384475669621, 2.6764642759852357, 3.6623357302487456, -5.6839423151664, 2.2176748197002834, 4.100212361441704, -3.3474575301089993]
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 2, "vc": [9, 5, 10, 7, 7, 0, 2, 6, 5, 15], "hlc": [921696, 5]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [13, 1, 3, 14, 12, 6, 4, 8, 8, 11], "hlc": [921697, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [0, 9, 9, 7, 7, 0, 1, 9, 5, 8], "hlc": [921698, 0]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 0, "vc": [8, 4, 12, 12, 10, 10, 14, 8, 6, 9], "hlc": [921696, 6]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 8, "vc": [9, 1, 3, 17, 10, 9, 12, 8, 6, 11], "hlc": [921696, 1]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 6, "vc": [9, 5, 8, 7, 16, 13, 9, 6, 8, 14], "hlc": [921696, 9]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [8, 4, 8, 12, 14, 10, 16, 12, 8, 9], "hlc": [921696, 9]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 3, "vc": [8, 7, 8, 12, 14, 6, 11, 14, 10, 9], "hlc": [921697, 5]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 2, "vc": [7, 7, 4, 3, 7, 0, 2, 9, 11, 8], "hlc": [921697, 4]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 0, "vc": [9, 5, 10, 7, 7, 0, 2, 6, 5, 16], "hlc": [921696, 6]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 2, "vc": [14, 4, 12, 14, 12, 10, 14, 8, 8, 11], "hlc": [921697, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 9, "vc": [15, 5, 12, 14, 12, 10, 14, 8, 8, 16], "hlc": [921697, 2]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 8, "vc": [8, 7, 13, 12, 10, 10, 14, 9, 11, 9], "hlc": [921697, 5]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [9, 4, 8, 18, 14, 10, 16, 12, 8, 11], "hlc": [921697, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 7, "vc": [9, 7, 8, 19, 14, 10, 16, 14, 10, 11], "hlc": [921697, 6]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [13, 5, 8, 14, 17, 6, 4, 8, 8, 13], "hlc": [921697, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [8, 9, 9, 12, 14, 10, 17, 12, 8, 9], "hlc": [921698, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 5, "vc": [9, 9, 9, 12, 16, 13, 18, 12, 8, 14], "hlc": [921698, 2]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 3, "vc": [9, 7, 4, 17, 10, 9, 12, 9, 12, 11], "hlc": [921697, 5]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [16, 5, 12, 14, 12, 10, 14, 8, 8, 16], "hlc": [921697, 3]}
