INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 41900, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 9.5, actual clock drifts: [-0.41611347666091447, 9.240202938529617, 6.789142363134719, -3.4488543067980437, -4.875205162554888, -2.215716365995857, -6.407023892982044, -8.280528279365639, 0.34407968079160867, 9.414028019743899]
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 7, "vc": [8, 8, 9, 6, 9, 7, 12, 4, 9, 11], "hlc": [921741, 3]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 6, "vc": [5, 6, 8, 6, 6, 7, 8, 16, 10, 9], "hlc": [921740, 6]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 1, "vc": [0, 2, 0, 6, 2, 4, 8, 4, 11, 0], "hlc": [921738, 9]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 8, "vc": [8, 11, 4, 6, 9, 4, 8, 4, 11, 5], "hlc": [921742, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [13, 6, 10, 14, 11, 7, 7, 12, 7, 9], "hlc": [921740, 7]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [15, 10, 4, 12, 15, 4, 7, 12, 7, 9], "hlc": [921741, 2]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 7, "vc": [8, 8, 9, 6, 9, 7, 13, 16, 10, 11], "hlc": [921741, 4]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 5, "vc": [8, 9, 8, 6, 9, 10, 8, 17, 10, 9], "hlc": [921740, 7]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 6, "vc": [8, 9, 9, 6, 9, 10, 12, 18, 10, 11], "hlc": [921741, 4]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 3, "vc": [16, 6, 4, 12, 11, 4, 7, 12, 7, 9], "hlc": [921740, 7]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [8, 12, 4, 6, 9, 4, 8, 4, 11, 5], "hlc": [921742, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [15, 10, 4, 12, 16, 4, 7, 12, 7, 9], "hlc": [921741, 3]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 5, "vc": [8, 8, 9, 6, 9, 7, 14, 16, 10, 11], "hlc": [921741, 5]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 3, "vc": [8, 9, 9, 6, 9, 10, 12, 19, 10, 11], "hlc": [921741, 5]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 9, "vc": [0, 2, 0, 6, 2, 4, 8, 4, 12, 0], "hlc": [921738, 10]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 6, "vc": [8, 8, 4, 4, 9, 4, 1, 0, 4, 12], "hlc": [921742, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 0, "vc": [16, 6, 4, 15, 11, 4, 7, 12, 7, 9], "hlc": [921740, 8]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 1, "vc": [16, 12, 4, 16, 11, 4, 8, 12, 11, 9], "hlc": [921742, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 7, "vc": [16, 12, 9, 17, 11, 10, 12, 19, 11, 11], "hlc": [921742, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [15, 10, 8, 12, 16, 11, 7, 14, 7, 9], "hlc": [921741, 4]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 6, "vc": [15, 10, 9, 12, 16, 12, 14, 16, 10, 11], "hlc": [921741, 6]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [8, 8, 9, 6, 9, 7, 15, 16, 10, 12], "hlc": [921742, 1]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 8, "vc": [8, 8, 4, 6, 9, 4, 8, 4, 12, 13], "hlc": [921743, 0]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 3, "vc": [13, 6, 11, 14, 11, 7, 7, 12, 7, 9], "hlc": [921740, 8]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 1, "vc": [16, 12, 9, 18, 11, 10, 12, 19, 11, 11], "hlc": [921742, 4]}
