INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 43600, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 6.5, actual clock drifts: [3.1756500833812833, 1.9981189640440622, 5.023723171009705, 1.2370294801019428, 2.8048445978807557, 1.2985883444248127, 1.5591785532180946, 0.2557504640536923, 5.172028960143978, -4.642300686874303]
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [11, 4, 3, 4, 10, 4, 5, 2, 4, 4], "hlc": [921695, 3]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 3, "vc": [6, 0, 1, 5, 17, 4, 4, 7, 2, 9], "hlc": [921694, 2]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 0, "vc": [0, 0, 0, 0, 14, 4, 7, 1, 2, 4], "hlc": [921693, 13]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 4, "vc": [6, 0, 0, 5, 13, 8, 4, 9, 2, 4], "hlc": [921693, 14]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 1, "vc": [6, 0, 1, 5, 6, 2, 2, 6, 1, 10], "hlc": [921693, 12]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 6, "vc": [12, 4, 3, 4, 14, 4, 7, 2, 4, 4], "hlc": [921695, 4]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 9, "vc": [6, 8, 1, 7, 11, 4, 2, 6, 2, 10], "hlc": [921693, 13]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 4, "vc": [6, 6, 1, 10, 17, 6, 4, 7, 2, 9], "hlc": [921694, 3]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 7, "vc": [6, 0, 1, 5, 18, 8, 4, 9, 2, 9], "hlc": [921694, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [11, 4, 3, 5, 13, 8, 5, 10, 4, 4], "hlc": [921695, 4]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 9, "vc": [8, 0, 6, 5, 6, 2, 2, 6, 1, 8], "hlc": [921696, 0]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 8, "vc": [6, 6, 1, 11, 17, 6, 4, 7, 2, 9], "hlc": [921694, 4]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 7, "vc": [6, 0, 1, 5, 19, 8, 4, 9, 2, 9], "hlc": [921694, 4]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 3, "vc": [3, 0, 0, 0, 13, 9, 4, 1, 2, 4], "hlc": [921693, 13]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 2, "vc": [11, 4, 3, 5, 13, 8, 5, 11, 4, 4], "hlc": [921695, 5]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 0, "vc": [6, 0, 1, 5, 6, 2, 2, 6, 1, 11], "hlc": [921693, 13]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 9, "vc": [13, 4, 3, 5, 14, 4, 7, 6, 4, 11], "hlc": [921695, 5]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 7, "vc": [11, 4, 7, 5, 13, 8, 5, 11, 4, 8], "hlc": [921697, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 5, "vc": [6, 6, 1, 12, 17, 9, 4, 7, 2, 9], "hlc": [921694, 5]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 4, "vc": [11, 4, 3, 5, 19, 8, 5, 12, 4, 9], "hlc": [921695, 6]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 3, "vc": [6, 6, 1, 11, 17, 6, 4, 7, 5, 9], "hlc": [921697, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 2, "vc": [8, 0, 6, 5, 6, 2, 2, 6, 1, 12], "hlc": [921696, 1]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [6, 9, 1, 7, 11, 4, 2, 6, 2, 10], "hlc": [921694, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [6, 0, 1, 5, 20, 8, 4, 9, 2, 9], "hlc": [921695, 0]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 7, "vc": [3, 0, 0, 0, 13, 10, 4, 1, 2, 4], "hlc": [921693, 14]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 0, "vc": [0, 0, 0, 0, 14, 4, 8, 1, 2, 4], "hlc": [921693, 14]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 1, "vc": [6, 6, 1, 11, 17, 6, 4, 7, 6, 9], "hlc": [921697, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 6, "vc": [14, 4, 3, 5, 14, 4, 8, 6, 4, 11], "hlc": [921695, 6]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 8, "vc": [6, 10, 1, 11, 17, 6, 4, 7, 6, 10], "hlc": [921697, 2]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [6, 9, 1, 7, 14, 4, 9, 6, 2, 10], "hlc": [921694, 1]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 5, "vc": [11, 4, 3, 5, 19, 10, 5, 13, 4, 9], "hlc": [921695, 7]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [8, 0, 6, 5, 20, 8, 4, 9, 2, 13], "hlc": [921696, 2]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 2, "vc": [15, 4, 3, 5, 14, 4, 8, 6, 4, 11], "hlc": [921695, 7]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 0, "vc": [11, 4, 8, 5, 13, 8, 5, 11, 4, 8], "hlc": [921697, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [6, 6, 1, 13, 17, 9, 4, 7, 2, 9], "hlc": [921694, 6]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 0, "vc": [11, 4, 3, 5, 19, 10, 5, 14, 4, 9], "hlc": [921695, 8]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 2, "vc": [8, 0, 6, 5, 20, 8, 4, 9, 2, 14], "hlc": [921696, 3]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 2, "vc": [16, 4, 8, 5, 14, 8, 8, 11, 4, 11], "hlc": [921697, 2]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 7, "vc": [17, 4, 8, 5, 19, 10, 8, 14, 4, 11], "hlc": [921697, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 0, "vc": [15, 4, 9, 5, 14, 8, 8, 11, 4, 11], "hlc": [921698, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 9, "vc": [15, 4, 10, 5, 20, 8, 8, 11, 4, 14], "hlc": [921698, 1]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [8, 6, 6, 13, 20, 9, 4, 9, 2, 15], "hlc": [921696, 4]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [18, 4, 8, 5, 19, 10, 8, 14, 4, 11], "hlc": [921697, 4]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [6, 11, 1, 11, 17, 6, 4, 7, 6, 10], "hlc": [921697, 3]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 9, "vc": [15, 4, 11, 5, 20, 8, 8, 11, 4, 14], "hlc": [921698, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [6, 0, 1, 5, 21, 8, 4, 9, 2, 9], "hlc": [921696, 0]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 7, "vc": [3, 0, 0, 0, 13, 11, 4, 1, 2, 4], "hlc": [921694, 0]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [6, 9, 1, 7, 14, 4, 10, 6, 2, 10], "hlc": [921694, 2]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 7, "vc": [6, 6, 1, 11, 17, 6, 4, 7, 7, 9], "hlc": [921698, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 7, "vc": [8, 6, 6, 13, 20, 9, 4, 9, 2, 16], "hlc": [921696, 5]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 1, "vc": [6, 11, 1, 14, 17, 9, 4, 7, 6, 10], "hlc": [921697, 4]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [6, 11, 1, 15, 17, 9, 10, 7, 6, 10], "hlc": [921697, 5]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 0, "vc": [18, 4, 8, 5, 19, 12, 8, 14, 4, 11], "hlc": [921697, 5]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [18, 4, 8, 5, 21, 13, 8, 14, 4, 11], "hlc": [921697, 6]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 5, "vc": [11, 4, 3, 5, 19, 11, 5, 15, 4, 9], "hlc": [921695, 9]}
