INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 47000, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 9.5, actual clock drifts: [4.648863593844599, 2.9378035743289743, -9.206817491300141, 2.928536986528215, 6.329851417819398, 8.487552901438164, 0.09867814632269045, -7.331753829341031, -5.6506721372380095, -7.557279587484457]
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 8, "vc": [16, 6, 13, 6, 8, 5, 5, 8, 5, 7], "hlc": [921751, 5]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [8, 14, 7, 9, 7, 13, 7, 13, 16, 12], "hlc": [921753, 7]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 4, "vc": [8, 6, 7, 14, 7, 13, 4, 11, 15, 12], "hlc": [921753, 7]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 3, "vc": [10, 6, 11, 10, 11, 16, 5, 11, 7, 10], "hlc": [921754, 3]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 2, "vc": [13, 6, 12, 11, 8, 20, 9, 11, 10, 10], "hlc": [921755, 0]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 8, "vc": [13, 6, 12, 10, 10, 16, 11, 11, 10, 10], "hlc": [921754, 4]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [13, 10, 12, 11, 8, 19, 9, 15, 10, 10], "hlc": [921754, 5]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 2, "vc": [8, 6, 7, 13, 7, 13, 4, 11, 15, 14], "hlc": [921753, 8]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [13, 15, 12, 11, 8, 19, 9, 15, 16, 12], "hlc": [921754, 6]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 5, "vc": [13, 6, 14, 11, 8, 20, 9, 11, 10, 10], "hlc": [921755, 1]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 9, "vc": [13, 6, 15, 13, 8, 20, 9, 11, 15, 14], "hlc": [921755, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 1, "vc": [8, 14, 7, 15, 7, 13, 7, 13, 16, 12], "hlc": [921753, 8]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 4, "vc": [10, 14, 11, 16, 11, 16, 7, 13, 16, 12], "hlc": [921754, 4]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 3, "vc": [10, 6, 11, 14, 12, 16, 5, 11, 15, 12], "hlc": [921754, 4]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 0, "vc": [16, 11, 13, 9, 8, 13, 7, 11, 19, 12], "hlc": [921753, 8]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 6, "vc": [16, 11, 13, 10, 10, 16, 11, 11, 20, 12], "hlc": [921754, 5]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [17, 6, 13, 6, 8, 5, 5, 8, 5, 7], "hlc": [921752, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [13, 16, 12, 11, 8, 19, 9, 15, 16, 12], "hlc": [921754, 7]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 7, "vc": [10, 14, 11, 17, 11, 16, 7, 13, 16, 12], "hlc": [921754, 5]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 7, "vc": [10, 6, 11, 14, 13, 16, 5, 11, 15, 12], "hlc": [921754, 5]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 4, "vc": [13, 6, 12, 11, 8, 21, 9, 11, 10, 10], "hlc": [921755, 1]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 4, "vc": [13, 10, 12, 11, 8, 19, 9, 16, 10, 10], "hlc": [921754, 6]}
