INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 46300, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 8.5, actual clock drifts: [7.585987728563396, 1.6008081178491516, 6.979053081027349, -7.010896705543091, -1.2409630720320397, 4.269954115470581, 1.294701968697499, 3.6050461764102018, 7.776180883511692, 5.414677225620519]
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 8, "vc": [0, 1, 0, 0, 0, 8, 2, 0, 0, 0], "hlc": [921722, 0]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 8, "vc": [2, 6, 4, 6, 0, 5, 12, 4, 5, 5], "hlc": [921725, 5]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 3, "vc": [2, 6, 4, 4, 0, 3, 10, 7, 0, 5], "hlc": [921723, 9]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 6, "vc": [1, 2, 0, 0, 0, 7, 2, 0, 0, 8], "hlc": [921723, 8]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 4, "vc": [3, 2, 2, 8, 10, 5, 4, 4, 5, 4], "hlc": [921725, 5]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 7, "vc": [3, 6, 4, 9, 10, 5, 10, 7, 5, 5], "hlc": [921725, 6]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [2, 6, 4, 6, 0, 7, 13, 4, 5, 8], "hlc": [921725, 6]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 3, "vc": [7, 1, 2, 7, 6, 5, 4, 4, 8, 2], "hlc": [921726, 0]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 5, "vc": [7, 1, 2, 7, 6, 8, 4, 4, 9, 2], "hlc": [921726, 1]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 6, "vc": [7, 6, 4, 7, 6, 8, 12, 4, 10, 5], "hlc": [921726, 2]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 0, "vc": [13, 9, 7, 3, 8, 7, 7, 1, 3, 9], "hlc": [921726, 3]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 1, "vc": [13, 11, 7, 3, 8, 7, 7, 4, 7, 10], "hlc": [921726, 4]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 3, "vc": [10, 9, 10, 3, 9, 6, 7, 1, 3, 4], "hlc": [921725, 8]}
