INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 43900, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 4.5, actual clock drifts: [1.5853754317394593, -1.3335141806563184, 2.7697655542192043, -1.0248469125339996, -0.3289080402695186, 2.6893198594934873, -2.973326545200625, 4.037019997055346, 1.7866022384000537, -3.4694807048440857]
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 8, "vc": [8, 11, 8, 6, 14, 12, 6, 8, 9, 3], "hlc": [921558, 2]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 9, "vc": [8, 11, 8, 6, 15, 12, 6, 8, 9, 7], "hlc": [921558, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [7, 7, 5, 7, 5, 17, 9, 7, 3, 4], "hlc": [921557, 4]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 1, "vc": [6, 13, 6, 3, 10, 12, 6, 9, 5, 3], "hlc": [921558, 1]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 5, "vc": [7, 11, 8, 3, 8, 16, 9, 7, 10, 4], "hlc": [921557, 5]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 0, "vc": [9, 2, 1, 5, 1, 4, 3, 0, 2, 8], "hlc": [921555, 2]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 6, "vc": [9, 7, 5, 5, 5, 8, 10, 1, 2, 9], "hlc": [921555, 8]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [6, 14, 6, 3, 10, 12, 6, 5, 5, 3], "hlc": [921556, 12]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [2, 1, 10, 5, 8, 4, 3, 3, 0, 6], "hlc": [921557, 0]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 4, "vc": [2, 0, 1, 8, 1, 4, 3, 0, 0, 1], "hlc": [921553, 10]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [8, 11, 8, 6, 16, 12, 6, 8, 9, 7], "hlc": [921558, 4]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 5, "vc": [6, 13, 6, 3, 10, 12, 6, 10, 5, 3], "hlc": [921558, 2]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 6, "vc": [9, 7, 5, 5, 5, 8, 10, 1, 2, 10], "hlc": [921555, 9]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [8, 11, 10, 6, 17, 12, 6, 8, 9, 7], "hlc": [921558, 5]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 3, "vc": [8, 11, 10, 8, 18, 12, 6, 8, 9, 7], "hlc": [921558, 6]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 7, "vc": [7, 13, 6, 7, 10, 18, 9, 10, 5, 4], "hlc": [921558, 3]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [7, 14, 6, 3, 10, 12, 11, 5, 5, 3], "hlc": [921556, 13]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [9, 14, 6, 5, 10, 12, 12, 5, 5, 10], "hlc": [921556, 14]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [9, 11, 8, 6, 16, 12, 10, 8, 9, 11], "hlc": [921558, 5]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 9, "vc": [10, 2, 0, 0, 0, 0, 0, 0, 2, 2], "hlc": [921556, 0]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 8, "vc": [2, 1, 11, 5, 8, 4, 3, 3, 0, 6], "hlc": [921557, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [2, 0, 1, 9, 1, 4, 3, 0, 0, 1], "hlc": [921553, 11]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 7, "vc": [8, 11, 10, 8, 19, 12, 6, 8, 9, 7], "hlc": [921558, 7]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [9, 14, 6, 5, 10, 12, 13, 5, 5, 10], "hlc": [921556, 15]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [9, 14, 12, 5, 10, 12, 13, 5, 5, 10], "hlc": [921558, 0]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [7, 13, 6, 9, 10, 19, 9, 10, 5, 4], "hlc": [921558, 4]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 4, "vc": [8, 13, 10, 8, 19, 12, 6, 11, 9, 7], "hlc": [921559, 0]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 2, "vc": [7, 11, 11, 5, 8, 16, 9, 7, 11, 6], "hlc": [921557, 6]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 0, "vc": [10, 11, 8, 6, 16, 12, 10, 8, 9, 12], "hlc": [921558, 6]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 9, "vc": [11, 2, 0, 0, 0, 0, 0, 0, 2, 2], "hlc": [921557, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [6, 15, 6, 3, 10, 12, 6, 5, 5, 3], "hlc": [921556, 13]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 1, "vc": [9, 14, 13, 5, 10, 12, 13, 5, 5, 10], "hlc": [921558, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [2, 0, 1, 10, 1, 4, 3, 0, 0, 1], "hlc": [921554, 0]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 9, "vc": [7, 13, 6, 9, 10, 20, 9, 10, 5, 4], "hlc": [921558, 5]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 8, "vc": [8, 13, 10, 8, 19, 12, 6, 12, 9, 7], "hlc": [921559, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 6, "vc": [7, 11, 11, 5, 8, 16, 9, 7, 12, 6], "hlc": [921557, 7]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [9, 16, 13, 5, 10, 12, 13, 5, 5, 10], "hlc": [921558, 2]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [9, 14, 14, 10, 10, 12, 13, 5, 5, 10], "hlc": [921558, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 1, "vc": [6, 15, 6, 11, 10, 12, 6, 5, 5, 3], "hlc": [921556, 14]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 8, "vc": [9, 14, 11, 5, 10, 16, 14, 7, 12, 10], "hlc": [921557, 8]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 7, "vc": [8, 13, 11, 8, 19, 16, 9, 12, 13, 7], "hlc": [921559, 2]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 0, "vc": [11, 11, 8, 6, 16, 12, 10, 8, 9, 13], "hlc": [921558, 7]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 5, "vc": [11, 13, 8, 9, 16, 20, 10, 10, 9, 14], "hlc": [921558, 8]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 8, "vc": [9, 17, 13, 5, 10, 12, 13, 5, 5, 10], "hlc": [921558, 3]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 6, "vc": [6, 15, 6, 12, 10, 12, 6, 5, 5, 3], "hlc": [921556, 15]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [8, 11, 10, 8, 20, 12, 6, 8, 9, 7], "hlc": [921558, 8]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 4, "vc": [8, 13, 10, 8, 19, 12, 6, 13, 9, 7], "hlc": [921560, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 7, "vc": [11, 13, 8, 9, 16, 20, 10, 10, 9, 15], "hlc": [921558, 9]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 7, "vc": [8, 13, 10, 8, 21, 12, 6, 13, 9, 7], "hlc": [921560, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [8, 13, 10, 9, 20, 21, 9, 10, 9, 7], "hlc": [921559, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 3, "vc": [9, 15, 11, 12, 10, 16, 15, 7, 12, 10], "hlc": [921557, 9]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 9, "vc": [11, 13, 10, 9, 19, 20, 10, 14, 9, 15], "hlc": [921560, 1]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 1, "vc": [9, 17, 13, 8, 19, 16, 13, 12, 14, 10], "hlc": [921559, 3]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 6, "vc": [12, 2, 0, 0, 0, 0, 0, 0, 2, 2], "hlc": [921558, 0]}
