INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 43400, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 6.5, actual clock drifts: [2.691747569997812, 5.766260455693281, 1.8248642289621273, 5.910631307849949, 2.0275529149367966, -0.32321109747315546, 3.9098515593894163, 2.0810472525036445, 2.590956422298211, 1.5587843491192945]
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [7, 4, 5, 5, 13, 2, 4, 11, 5, 1], "hlc": [921696, 4]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 1, "vc": [0, 3, 5, 0, 0, 0, 4, 2, 6, 0], "hlc": [921694, 7]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [8, 10, 17, 5, 13, 4, 4, 11, 5, 7], "hlc": [921698, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 8, "vc": [8, 11, 17, 5, 13, 4, 4, 11, 6, 7], "hlc": [921698, 1]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 1, "vc": [8, 9, 20, 7, 11, 6, 3, 9, 3, 10], "hlc": [921697, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 0, "vc": [10, 5, 13, 3, 1, 8, 1, 5, 1, 5], "hlc": [921695, 6]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [10, 5, 13, 3, 14, 9, 4, 5, 5, 5], "hlc": [921695, 9]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 2, "vc": [8, 5, 19, 7, 11, 6, 4, 9, 7, 10], "hlc": [921697, 3]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 6, "vc": [7, 7, 12, 3, 10, 6, 7, 7, 1, 15], "hlc": [921696, 4]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [11, 0, 1, 1, 1, 0, 1, 5, 0, 0], "hlc": [921694, 9]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 5, "vc": [8, 12, 17, 5, 13, 4, 4, 11, 6, 7], "hlc": [921698, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [5, 4, 5, 0, 15, 2, 4, 2, 5, 1], "hlc": [921695, 9]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 0, "vc": [10, 5, 13, 3, 14, 10, 4, 5, 5, 5], "hlc": [921695, 10]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [7, 3, 1, 1, 1, 0, 8, 7, 0, 0], "hlc": [921696, 0]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 4, "vc": [8, 5, 19, 7, 11, 6, 4, 9, 8, 10], "hlc": [921697, 4]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 5, "vc": [12, 5, 13, 3, 14, 10, 4, 5, 5, 5], "hlc": [921695, 11]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 4, "vc": [8, 13, 17, 5, 15, 4, 4, 11, 6, 7], "hlc": [921698, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [8, 9, 21, 7, 11, 6, 8, 9, 3, 10], "hlc": [921697, 4]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [11, 4, 5, 1, 16, 2, 4, 5, 5, 1], "hlc": [921695, 10]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 8, "vc": [11, 5, 19, 7, 17, 6, 4, 9, 8, 10], "hlc": [921697, 5]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 1, "vc": [10, 12, 17, 5, 14, 11, 4, 11, 6, 7], "hlc": [921698, 3]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [13, 5, 13, 3, 14, 10, 4, 5, 5, 5], "hlc": [921695, 12]}
