INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 49200, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 2.5, actual clock drifts: [-1.648203973860975, -0.8455879061870042, -1.1523903140039056, 0.5774083441677309, -2.4247753605919593, 1.4345167296798795, 0.8359340082566358, 1.7717441120057087, -1.821887158946352, -1.6271476050242373]
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [1, 0, 0, 0, 0, 2, 8, 0, 0, 1], "hlc": [921527, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [7, 1, 0, 0, 7, 3, 7, 4, 0, 1], "hlc": [921527, 3]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [1, 8, 9, 1, 2, 2, 4, 1, 2, 4], "hlc": [921526, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 0, "vc": [6, 6, 8, 10, 5, 8, 6, 6, 7, 5], "hlc": [921527, 8]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 5, "vc": [6, 6, 8, 11, 5, 9, 6, 6, 7, 5], "hlc": [921528, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [6, 6, 8, 12, 5, 9, 8, 6, 7, 5], "hlc": [921528, 2]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [1, 7, 0, 1, 2, 2, 9, 0, 2, 1], "hlc": [921528, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 3, "vc": [2, 7, 8, 9, 5, 8, 10, 6, 7, 5], "hlc": [921528, 1]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [8, 1, 0, 0, 7, 3, 7, 4, 0, 1], "hlc": [921527, 4]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 3, "vc": [1, 5, 10, 1, 2, 2, 4, 1, 2, 4], "hlc": [921526, 0]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 4, "vc": [6, 6, 8, 13, 5, 9, 8, 6, 7, 5], "hlc": [921528, 3]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [2, 1, 0, 0, 8, 2, 7, 0, 0, 1], "hlc": [921527, 3]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 1, "vc": [2, 7, 8, 9, 5, 8, 11, 6, 7, 5], "hlc": [921528, 2]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [1, 1, 0, 0, 3, 3, 0, 7, 0, 0], "hlc": [921529, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 7, "vc": [5, 0, 0, 1, 0, 3, 5, 4, 4, 8], "hlc": [921526, 7]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 4, "vc": [2, 9, 9, 1, 8, 2, 7, 1, 2, 4], "hlc": [921527, 4]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 6, "vc": [2, 10, 9, 9, 8, 8, 11, 6, 7, 5], "hlc": [921528, 3]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [2, 11, 9, 9, 8, 8, 11, 7, 7, 5], "hlc": [921529, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 2, "vc": [6, 6, 10, 14, 5, 9, 8, 6, 7, 5], "hlc": [921528, 4]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [8, 1, 0, 0, 9, 3, 7, 4, 0, 1], "hlc": [921527, 5]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 3, "vc": [8, 6, 8, 13, 10, 9, 8, 6, 7, 5], "hlc": [921528, 4]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 9, "vc": [5, 1, 0, 1, 3, 3, 5, 8, 4, 8], "hlc": [921529, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 7, "vc": [5, 0, 0, 1, 0, 3, 5, 4, 4, 9], "hlc": [921526, 8]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 9, "vc": [5, 1, 0, 1, 3, 3, 5, 9, 4, 9], "hlc": [921530, 0]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [9, 1, 0, 0, 7, 3, 7, 4, 0, 1], "hlc": [921527, 5]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 5, "vc": [2, 12, 9, 9, 8, 8, 11, 7, 7, 5], "hlc": [921529, 2]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [1, 5, 11, 1, 2, 2, 4, 1, 2, 4], "hlc": [921527, 0]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 8, "vc": [6, 6, 10, 15, 5, 9, 8, 6, 7, 5], "hlc": [921528, 5]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [8, 6, 8, 13, 11, 9, 8, 6, 7, 5], "hlc": [921528, 5]}
