INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 40400, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 7.5, actual clock drifts: [1.3959306515853207, -3.1334209064736394, -2.056964193643015, -7.460444967501718, -0.6339459155877094, 4.846404761654547, 0.3241498994679839, 5.565218479943878, 1.7825041362752305, 4.448884580952111]
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 2, "vc": [3, 9, 15, 5, 6, 5, 6, 8, 7, 4], "hlc": [921712, 4]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 8, "vc": [0, 7, 7, 3, 4, 1, 12, 1, 7, 9], "hlc": [921709, 8]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 5, "vc": [0, 2, 0, 1, 0, 0, 0, 11, 0, 3], "hlc": [921713, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 1, "vc": [3, 4, 13, 5, 14, 5, 8, 7, 4, 16], "hlc": [921712, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 9, "vc": [3, 10, 15, 5, 14, 5, 8, 8, 7, 16], "hlc": [921712, 5]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 1, "vc": [3, 9, 16, 5, 6, 5, 6, 8, 7, 4], "hlc": [921712, 5]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 7, "vc": [7, 4, 5, 7, 11, 15, 9, 11, 4, 9], "hlc": [921713, 2]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 0, "vc": [9, 4, 12, 15, 9, 11, 8, 9, 12, 14], "hlc": [921712, 6]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 6, "vc": [9, 7, 12, 15, 9, 11, 12, 9, 13, 14], "hlc": [921712, 7]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 2, "vc": [10, 4, 5, 7, 9, 11, 8, 5, 4, 9], "hlc": [921711, 6]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 0, "vc": [7, 4, 5, 7, 11, 16, 9, 11, 4, 9], "hlc": [921713, 3]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 9, "vc": [0, 7, 7, 3, 4, 1, 13, 1, 7, 9], "hlc": [921709, 9]}
