INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 44300, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 6.5, actual clock drifts: [1.0429606020280868, 5.919042147848273, -6.419345840661828, -0.515299478874538, 1.967350383842163, 0.10465308786227112, 4.095690795666412, -0.6063859378507788, -4.225248802207043, -0.6938742573471259]
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 8, "vc": [8, 7, 8, 7, 5, 3, 5, 4, 2, 1], "hlc": [921695, 7]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 4, "vc": [9, 3, 8, 1, 1, 7, 4, 2, 2, 4], "hlc": [921694, 11]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [3, 5, 1, 0, 1, 1, 9, 0, 6, 3], "hlc": [921694, 10]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 7, "vc": [3, 5, 1, 0, 1, 1, 6, 0, 9, 3], "hlc": [921694, 10]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [3, 7, 12, 0, 3, 1, 9, 4, 6, 3], "hlc": [921695, 6]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 5, "vc": [9, 7, 8, 1, 6, 7, 4, 4, 2, 4], "hlc": [921695, 6]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [11, 5, 8, 5, 1, 3, 8, 8, 8, 3], "hlc": [921694, 12]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 2, "vc": [11, 7, 11, 5, 3, 3, 8, 9, 8, 3], "hlc": [921695, 6]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 8, "vc": [11, 7, 11, 5, 3, 3, 8, 10, 9, 3], "hlc": [921695, 7]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 3, "vc": [8, 7, 8, 7, 5, 3, 6, 4, 10, 3], "hlc": [921695, 8]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 7, "vc": [3, 10, 0, 0, 0, 1, 0, 5, 4, 1], "hlc": [921697, 0]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 6, "vc": [8, 7, 8, 8, 5, 3, 5, 4, 2, 1], "hlc": [921695, 8]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 2, "vc": [9, 7, 8, 1, 7, 7, 4, 4, 2, 4], "hlc": [921695, 7]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 1, "vc": [9, 3, 8, 1, 1, 8, 4, 2, 2, 4], "hlc": [921694, 12]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 2, "vc": [8, 7, 8, 7, 5, 3, 6, 4, 11, 3], "hlc": [921695, 9]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 5, "vc": [9, 11, 8, 1, 1, 8, 4, 5, 4, 4], "hlc": [921697, 1]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 4, "vc": [9, 7, 13, 1, 7, 7, 9, 4, 6, 4], "hlc": [921695, 8]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 8, "vc": [9, 7, 14, 7, 7, 7, 9, 4, 11, 4], "hlc": [921695, 10]}
