INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 38300, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 3.5, actual clock drifts: [-1.9694629802370311, 0.9636963798644205, -0.20663985464226187, 2.5281132659094503, 2.4620220661800367, -1.9201098723014, -1.588509226980463, 1.5110462152742876, -2.512903476144471, -1.6050945510807224]
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 7, "vc": [0, 1, 8, 0, 0, 1, 3, 2, 1, 0], "hlc": [921540, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [0, 0, 1, 1, 10, 0, 1, 0, 0, 1], "hlc": [921543, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 7, "vc": [0, 8, 1, 7, 6, 0, 4, 3, 11, 3], "hlc": [921541, 7]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 1, "vc": [0, 12, 7, 1, 11, 1, 3, 3, 2, 1], "hlc": [921544, 0]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [9, 8, 4, 10, 10, 9, 4, 4, 10, 3], "hlc": [921543, 2]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 0, "vc": [11, 10, 6, 4, 6, 6, 10, 3, 6, 0], "hlc": [921541, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 2, "vc": [9, 7, 8, 9, 9, 5, 6, 9, 6, 1], "hlc": [921543, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 8, "vc": [9, 8, 8, 9, 9, 5, 6, 10, 11, 3], "hlc": [921543, 3]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 2, "vc": [12, 7, 4, 4, 5, 3, 1, 3, 2, 0], "hlc": [921540, 11]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 8, "vc": [0, 1, 9, 0, 0, 1, 3, 2, 1, 0], "hlc": [921541, 0]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [0, 1, 1, 13, 8, 0, 4, 4, 5, 1], "hlc": [921544, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [0, 12, 7, 1, 12, 1, 3, 3, 2, 1], "hlc": [921544, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 5, "vc": [11, 10, 6, 4, 6, 6, 11, 3, 6, 0], "hlc": [921541, 4]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 4, "vc": [9, 8, 8, 9, 9, 5, 6, 11, 11, 3], "hlc": [921543, 4]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 4, "vc": [0, 13, 7, 1, 12, 1, 3, 3, 2, 1], "hlc": [921544, 2]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 0, "vc": [12, 7, 10, 4, 5, 3, 3, 3, 2, 0], "hlc": [921541, 1]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [12, 7, 11, 13, 8, 3, 4, 4, 5, 1], "hlc": [921544, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 7, "vc": [9, 12, 8, 9, 13, 5, 6, 11, 11, 3], "hlc": [921544, 2]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 6, "vc": [11, 10, 6, 10, 10, 10, 11, 4, 10, 3], "hlc": [921543, 3]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 2, "vc": [0, 8, 9, 7, 6, 1, 4, 3, 12, 3], "hlc": [921541, 8]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 2, "vc": [0, 14, 7, 1, 12, 1, 3, 3, 2, 1], "hlc": [921544, 3]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 5, "vc": [12, 7, 12, 13, 8, 3, 4, 4, 5, 1], "hlc": [921544, 2]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 7, "vc": [11, 10, 6, 4, 6, 6, 12, 3, 6, 0], "hlc": [921541, 5]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [0, 8, 9, 7, 6, 1, 4, 3, 13, 3], "hlc": [921541, 9]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 8, "vc": [0, 1, 1, 12, 8, 0, 4, 4, 5, 5], "hlc": [921543, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 1, "vc": [12, 14, 13, 13, 12, 3, 4, 4, 5, 1], "hlc": [921544, 4]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 2, "vc": [12, 10, 12, 13, 10, 11, 11, 4, 10, 3], "hlc": [921544, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [12, 10, 12, 13, 10, 12, 11, 4, 13, 3], "hlc": [921544, 4]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 6, "vc": [11, 10, 8, 9, 9, 6, 12, 12, 11, 3], "hlc": [921544, 0]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 9, "vc": [0, 8, 9, 12, 8, 1, 4, 4, 14, 5], "hlc": [921543, 4]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 2, "vc": [13, 7, 4, 4, 5, 3, 1, 3, 2, 0], "hlc": [921540, 12]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 8, "vc": [0, 15, 7, 1, 12, 1, 3, 3, 2, 1], "hlc": [921544, 4]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 6, "vc": [0, 1, 1, 14, 8, 0, 4, 4, 5, 1], "hlc": [921545, 0]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 9, "vc": [12, 10, 12, 13, 10, 13, 11, 4, 13, 3], "hlc": [921544, 5]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 4, "vc": [0, 8, 9, 12, 8, 1, 4, 4, 15, 5], "hlc": [921543, 5]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 3, "vc": [0, 1, 1, 12, 8, 0, 4, 4, 5, 6], "hlc": [921543, 4]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 0, "vc": [13, 14, 14, 13, 12, 3, 4, 4, 5, 1], "hlc": [921544, 5]}
