INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 39500, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 3.5, actual clock drifts: [-0.48313919518143633, -3.118698743003673, 2.820022420439673, 0.6018766187339608, 1.3632902781589111, 2.3712916049753687, -1.1797308063677479, -1.8421866366211952, -2.933293312555869, 1.508420287669197]
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [12, 14, 5, 9, 2, 4, 10, 8, 5, 4], "hlc": [921541, 12]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 7, "vc": [2, 15, 5, 9, 2, 4, 10, 8, 5, 4], "hlc": [921541, 11]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [5, 5, 16, 7, 7, 2, 13, 5, 1, 8], "hlc": [921543, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 7, "vc": [7, 8, 15, 7, 13, 3, 13, 5, 1, 8], "hlc": [921543, 3]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 2, "vc": [7, 8, 12, 10, 11, 9, 8, 2, 3, 7], "hlc": [921543, 0]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 9, "vc": [3, 1, 8, 5, 6, 2, 16, 5, 1, 1], "hlc": [921541, 10]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 2, "vc": [3, 2, 8, 5, 6, 2, 15, 5, 7, 4], "hlc": [921541, 11]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 5, "vc": [7, 8, 17, 10, 11, 9, 13, 5, 3, 8], "hlc": [921544, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 8, "vc": [7, 8, 18, 10, 11, 9, 15, 5, 7, 8], "hlc": [921544, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [7, 8, 16, 7, 14, 3, 13, 5, 1, 8], "hlc": [921543, 4]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [12, 14, 5, 9, 2, 4, 10, 10, 5, 4], "hlc": [921541, 13]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 1, "vc": [12, 15, 5, 9, 2, 4, 10, 11, 5, 4], "hlc": [921541, 14]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 4, "vc": [12, 15, 15, 9, 13, 4, 13, 12, 5, 8], "hlc": [921543, 4]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 6, "vc": [9, 12, 12, 10, 11, 8, 16, 7, 5, 12], "hlc": [921543, 0]}
