INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 45800, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 8.5, actual clock drifts: [-4.638606445797713, -6.427616644881452, 1.5725137029544118, 7.514017403388451, -6.145261678004413, -4.589303175339167, -4.7199962091575625, -4.427077492702441, 1.0650484831497238, 3.2060777881459046]
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 0, "vc": [1, 0, 0, 7, 1, 2, 0, 0, 0, 8], "hlc": [921724, 5]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 9, "vc": [8, 4, 2, 7, 1, 4, 2, 0, 7, 8], "hlc": [921724, 6]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 6, "vc": [5, 7, 2, 6, 5, 2, 10, 1, 9, 5], "hlc": [921724, 9]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 1, "vc": [4, 6, 3, 10, 5, 9, 4, 5, 7, 2], "hlc": [921725, 5]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 3, "vc": [5, 2, 3, 12, 1, 6, 11, 5, 9, 5], "hlc": [921726, 2]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 4, "vc": [5, 2, 3, 12, 6, 6, 12, 5, 9, 5], "hlc": [921726, 3]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 8, "vc": [5, 2, 3, 12, 6, 6, 13, 5, 10, 5], "hlc": [921726, 4]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 2, "vc": [2, 0, 5, 7, 1, 2, 5, 0, 0, 9], "hlc": [921724, 6]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 5, "vc": [2, 2, 5, 10, 1, 8, 5, 5, 7, 10], "hlc": [921725, 5]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [9, 4, 2, 7, 1, 4, 2, 0, 7, 8], "hlc": [921724, 7]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 7, "vc": [5, 8, 2, 6, 5, 2, 10, 1, 9, 5], "hlc": [921724, 10]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 8, "vc": [2, 0, 6, 0, 0, 1, 5, 0, 0, 0], "hlc": [921721, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [1, 0, 0, 5, 7, 0, 0, 1, 0, 2], "hlc": [921723, 8]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 9, "vc": [4, 6, 3, 10, 5, 10, 4, 5, 7, 2], "hlc": [921725, 6]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [2, 2, 3, 7, 1, 2, 4, 7, 0, 7], "hlc": [921724, 6]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 0, "vc": [5, 1, 2, 6, 1, 2, 8, 0, 11, 5], "hlc": [921724, 8]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 4, "vc": [2, 2, 5, 10, 1, 8, 5, 5, 7, 11], "hlc": [921725, 6]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 8, "vc": [10, 4, 2, 7, 1, 4, 8, 0, 11, 8], "hlc": [921724, 9]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 4, "vc": [5, 9, 2, 6, 7, 2, 10, 1, 9, 5], "hlc": [921724, 11]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [5, 10, 3, 7, 7, 2, 10, 7, 9, 7], "hlc": [921724, 12]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 9, "vc": [2, 2, 5, 10, 8, 8, 5, 5, 7, 11], "hlc": [921725, 7]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 0, "vc": [9, 6, 3, 10, 5, 11, 4, 5, 7, 8], "hlc": [921725, 7]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 1, "vc": [5, 8, 3, 7, 5, 2, 10, 8, 9, 7], "hlc": [921724, 11]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 2, "vc": [5, 1, 6, 6, 1, 2, 8, 0, 12, 5], "hlc": [921724, 9]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 5, "vc": [4, 6, 5, 10, 5, 10, 5, 5, 7, 12], "hlc": [921725, 7]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [11, 4, 2, 7, 1, 4, 8, 0, 11, 8], "hlc": [921724, 10]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 5, "vc": [2, 0, 7, 0, 0, 1, 5, 0, 0, 0], "hlc": [921721, 1]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 6, "vc": [5, 8, 3, 7, 5, 2, 10, 9, 9, 7], "hlc": [921724, 12]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [5, 1, 6, 6, 1, 2, 8, 0, 13, 5], "hlc": [921724, 10]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [5, 2, 6, 13, 1, 6, 8, 5, 13, 5], "hlc": [921727, 0]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 2, "vc": [9, 6, 7, 10, 5, 12, 5, 5, 7, 8], "hlc": [921725, 8]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 7, "vc": [5, 8, 3, 12, 6, 6, 14, 9, 10, 7], "hlc": [921726, 5]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [11, 8, 3, 7, 5, 4, 10, 10, 11, 8], "hlc": [921724, 13]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 8, "vc": [5, 11, 3, 7, 7, 2, 10, 7, 9, 7], "hlc": [921724, 13]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 0, "vc": [5, 1, 6, 6, 1, 2, 8, 0, 14, 5], "hlc": [921724, 11]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 4, "vc": [4, 6, 5, 10, 5, 10, 5, 5, 7, 13], "hlc": [921725, 8]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 8, "vc": [12, 4, 6, 7, 1, 4, 8, 0, 14, 8], "hlc": [921724, 12]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 9, "vc": [4, 6, 5, 10, 9, 10, 5, 5, 7, 13], "hlc": [921725, 9]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 1, "vc": [5, 11, 6, 7, 7, 2, 10, 7, 15, 7], "hlc": [921724, 14]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 8, "vc": [13, 4, 6, 7, 1, 4, 8, 0, 14, 8], "hlc": [921724, 13]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 6, "vc": [2, 0, 8, 0, 0, 1, 5, 0, 0, 0], "hlc": [921722, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 3, "vc": [4, 6, 5, 10, 10, 10, 5, 5, 7, 13], "hlc": [921725, 10]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 2, "vc": [9, 6, 7, 10, 5, 13, 5, 5, 7, 8], "hlc": [921725, 9]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 8, "vc": [5, 8, 3, 12, 6, 6, 15, 9, 10, 7], "hlc": [921726, 6]}
