INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 40700, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 7.5, actual clock drifts: [4.640363694966606, 1.8115185812980226, -3.4238207720767413, -1.816102556415288, -5.168889847643173, -5.128256371111185, 5.711239680492989, -3.756598256952955, 6.75546973389922, 6.948259109126912]
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [7, 5, 12, 3, 11, 9, 5, 11, 6, 8], "hlc": [921713, 2]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [12, 12, 9, 3, 5, 5, 10, 13, 3, 4], "hlc": [921713, 0]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [14, 10, 8, 3, 5, 5, 7, 15, 3, 4], "hlc": [921711, 6]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 8, "vc": [15, 10, 8, 3, 5, 5, 7, 12, 3, 4], "hlc": [921712, 0]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 8, "vc": [7, 3, 13, 3, 7, 9, 1, 6, 2, 2], "hlc": [921710, 12]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [7, 5, 12, 3, 12, 9, 5, 11, 6, 8], "hlc": [921713, 3]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 0, "vc": [7, 5, 7, 3, 9, 12, 5, 11, 6, 4], "hlc": [921712, 7]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 5, "vc": [14, 10, 8, 3, 5, 5, 7, 16, 3, 4], "hlc": [921711, 7]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 2, "vc": [9, 5, 7, 3, 5, 8, 5, 11, 9, 4], "hlc": [921714, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 5, "vc": [16, 10, 8, 3, 9, 12, 7, 12, 6, 4], "hlc": [921712, 8]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 8, "vc": [9, 5, 14, 3, 7, 9, 5, 11, 9, 4], "hlc": [921714, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [7, 5, 12, 3, 12, 13, 5, 11, 6, 8], "hlc": [921713, 4]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 7, "vc": [14, 10, 12, 3, 12, 14, 7, 16, 6, 8], "hlc": [921713, 5]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 0, "vc": [15, 10, 8, 3, 5, 8, 7, 12, 10, 4], "hlc": [921714, 1]}
