INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 61200, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 9.5, actual clock drifts: [-9.061456184631695, -8.250519697238822, 6.209818130348776, -7.706574627823113, -4.908525910235845, -6.964102570915957, 4.801723083903672, -5.247978374054487, -5.511605078921284, 0.463981880650584]
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 2, "vc": [6, 4, 11, 7, 0, 8, 9, 12, 9, 7], "hlc": [921742, 3]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 4, "vc": [6, 4, 1, 9, 8, 2, 6, 8, 14, 8], "hlc": [921739, 10]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 6, "vc": [6, 4, 5, 4, 0, 6, 11, 9, 9, 11], "hlc": [921741, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [6, 4, 1, 4, 0, 2, 12, 9, 9, 4], "hlc": [921741, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [6, 4, 1, 9, 8, 2, 6, 8, 15, 8], "hlc": [921739, 11]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 3, "vc": [6, 4, 5, 4, 0, 6, 11, 9, 9, 12], "hlc": [921741, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [6, 4, 1, 11, 5, 2, 12, 9, 11, 4], "hlc": [921741, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 9, "vc": [6, 4, 5, 12, 5, 6, 12, 9, 11, 12], "hlc": [921741, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [6, 4, 11, 9, 8, 9, 9, 12, 15, 8], "hlc": [921742, 4]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 7, "vc": [11, 12, 10, 8, 6, 4, 9, 6, 9, 4], "hlc": [921742, 6]}
