INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 43500, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 4.5, actual clock drifts: [-1.29904390380503, 0.9190771041927137, -0.4156935713926009, 2.7384752367699132, 0.41554211166360666, -3.8009197764417526, 0.42114031204280344, 1.0601677857580754, -2.8411008116777747, 2.464957760788095]
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [12, 0, 2, 8, 5, 3, 1, 4, 7, 2], "hlc": [921555, 5]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 8, "vc": [8, 3, 2, 4, 3, 3, 1, 3, 6, 0], "hlc": [921554, 7]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [5, 0, 0, 10, 5, 5, 1, 1, 0, 2], "hlc": [921555, 3]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 3, "vc": [1, 0, 0, 6, 5, 6, 0, 1, 0, 2], "hlc": [921554, 5]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 3, "vc": [0, 0, 0, 0, 0, 0, 0, 5, 0, 0], "hlc": [921554, 0]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 0, "vc": [2, 0, 2, 4, 3, 1, 0, 3, 8, 0], "hlc": [921554, 5]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 4, "vc": [4, 0, 4, 0, 7, 1, 2, 2, 0, 9], "hlc": [921555, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 8, "vc": [13, 0, 2, 8, 5, 3, 1, 4, 8, 2], "hlc": [921555, 6]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 5, "vc": [5, 0, 0, 11, 5, 6, 1, 1, 0, 2], "hlc": [921556, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 7, "vc": [5, 0, 0, 12, 5, 6, 1, 5, 0, 2], "hlc": [921556, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 9, "vc": [4, 0, 4, 0, 8, 1, 2, 2, 0, 9], "hlc": [921555, 2]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 0, "vc": [12, 0, 2, 8, 5, 7, 1, 4, 7, 2], "hlc": [921555, 6]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [12, 0, 2, 10, 5, 8, 1, 4, 7, 2], "hlc": [921555, 7]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 1, "vc": [8, 3, 2, 4, 3, 3, 1, 3, 9, 0], "hlc": [921554, 8]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 6, "vc": [14, 0, 2, 8, 5, 3, 1, 4, 8, 2], "hlc": [921555, 7]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [5, 0, 0, 13, 5, 6, 1, 5, 0, 2], "hlc": [921556, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [4, 0, 4, 0, 9, 1, 2, 2, 0, 9], "hlc": [921555, 3]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 7, "vc": [12, 0, 2, 10, 5, 9, 1, 4, 7, 2], "hlc": [921555, 8]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 0, "vc": [4, 0, 0, 0, 7, 1, 4, 2, 0, 7], "hlc": [921554, 5]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 6, "vc": [0, 0, 0, 0, 0, 0, 0, 6, 0, 0], "hlc": [921554, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [15, 0, 4, 8, 9, 3, 2, 4, 8, 9], "hlc": [921555, 8]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 6, "vc": [16, 0, 4, 8, 9, 3, 4, 4, 8, 9], "hlc": [921555, 9]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [5, 0, 5, 13, 5, 6, 1, 5, 0, 5], "hlc": [921556, 3]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 0, "vc": [14, 0, 2, 8, 7, 3, 5, 4, 8, 7], "hlc": [921555, 8]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 7, "vc": [14, 0, 2, 8, 7, 3, 6, 6, 8, 7], "hlc": [921555, 9]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 5, "vc": [12, 0, 2, 10, 5, 9, 1, 7, 7, 2], "hlc": [921555, 9]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 2, "vc": [8, 4, 2, 4, 3, 3, 1, 3, 6, 0], "hlc": [921554, 8]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 0, "vc": [5, 0, 6, 13, 5, 6, 1, 5, 0, 5], "hlc": [921556, 4]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 4, "vc": [5, 0, 0, 14, 5, 6, 1, 5, 0, 2], "hlc": [921556, 3]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [4, 0, 4, 0, 10, 1, 2, 2, 0, 9], "hlc": [921555, 4]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 8, "vc": [12, 0, 2, 10, 5, 10, 1, 4, 7, 2], "hlc": [921555, 9]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [8, 3, 2, 4, 3, 3, 1, 3, 10, 0], "hlc": [921554, 9]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 5, "vc": [4, 0, 4, 0, 7, 1, 2, 2, 0, 10], "hlc": [921556, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 2, "vc": [17, 0, 6, 13, 9, 6, 4, 5, 8, 9], "hlc": [921556, 5]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 4, "vc": [8, 5, 4, 4, 10, 3, 2, 3, 6, 9], "hlc": [921555, 5]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 1, "vc": [8, 4, 7, 13, 5, 6, 1, 5, 6, 5], "hlc": [921556, 5]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [8, 3, 2, 15, 5, 6, 1, 5, 10, 2], "hlc": [921557, 0]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 3, "vc": [5, 0, 4, 14, 11, 6, 2, 5, 0, 9], "hlc": [921556, 4]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 9, "vc": [12, 0, 4, 10, 7, 11, 2, 4, 7, 10], "hlc": [921556, 1]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 5, "vc": [12, 3, 2, 10, 5, 10, 1, 4, 11, 2], "hlc": [921555, 10]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 6, "vc": [18, 0, 6, 13, 9, 6, 4, 5, 8, 9], "hlc": [921556, 6]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 8, "vc": [8, 4, 8, 13, 5, 6, 1, 5, 6, 5], "hlc": [921556, 6]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 5, "vc": [14, 0, 2, 8, 7, 3, 7, 6, 8, 7], "hlc": [921555, 10]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 6, "vc": [14, 0, 4, 10, 7, 12, 7, 6, 8, 10], "hlc": [921556, 2]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 0, "vc": [18, 0, 6, 13, 9, 6, 8, 6, 8, 9], "hlc": [921556, 7]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 2, "vc": [12, 4, 8, 13, 5, 10, 1, 5, 12, 5], "hlc": [921556, 7]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [19, 0, 6, 13, 9, 6, 4, 5, 8, 9], "hlc": [921556, 7]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 8, "vc": [8, 6, 4, 4, 10, 3, 2, 3, 6, 9], "hlc": [921555, 6]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 7, "vc": [8, 4, 9, 13, 5, 6, 1, 5, 6, 5], "hlc": [921556, 7]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 1, "vc": [8, 3, 2, 16, 5, 6, 1, 5, 10, 2], "hlc": [921557, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 3, "vc": [5, 0, 4, 14, 12, 6, 2, 5, 0, 9], "hlc": [921556, 5]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 9, "vc": [14, 0, 4, 10, 7, 13, 7, 6, 8, 10], "hlc": [921556, 3]}
