INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 39200, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 3.5, actual clock drifts: [-1.3534631983329302, -2.138564589543664, 0.4992127354699649, -1.4924748262448597, 0.08732003445784375, -3.280038562311149, 0.7357142047804999, 2.1196566151809986, -3.3795911692662695, 0.8531973761167846]
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [4, 9, 18, 10, 12, 12, 9, 5, 8, 13], "hlc": [921542, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [4, 1, 1, 12, 2, 2, 2, 7, 1, 3], "hlc": [921542, 3]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [4, 12, 12, 8, 16, 8, 11, 6, 5, 3], "hlc": [921542, 6]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 8, "vc": [2, 1, 1, 6, 8, 13, 4, 0, 8, 0], "hlc": [921538, 13]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 6, "vc": [9, 6, 10, 8, 10, 7, 4, 2, 12, 9], "hlc": [921540, 7]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 6, "vc": [4, 9, 16, 10, 14, 11, 9, 5, 8, 18], "hlc": [921542, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 0, "vc": [11, 16, 12, 8, 14, 11, 11, 6, 11, 16], "hlc": [921542, 8]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [4, 12, 18, 10, 17, 12, 11, 6, 8, 13], "hlc": [921542, 7]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [4, 12, 12, 8, 16, 14, 11, 6, 8, 3], "hlc": [921542, 7]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 8, "vc": [10, 6, 10, 8, 10, 8, 13, 6, 12, 9], "hlc": [921542, 4]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [10, 9, 16, 10, 14, 11, 14, 6, 12, 18], "hlc": [921542, 5]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 1, "vc": [9, 15, 12, 8, 14, 11, 11, 8, 11, 16], "hlc": [921544, 0]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 5, "vc": [9, 6, 10, 8, 10, 13, 4, 2, 13, 9], "hlc": [921540, 8]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [4, 9, 16, 12, 14, 11, 9, 7, 8, 19], "hlc": [921542, 4]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 8, "vc": [12, 6, 10, 8, 8, 4, 4, 2, 7, 5], "hlc": [921540, 6]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [11, 17, 12, 8, 14, 11, 11, 6, 11, 16], "hlc": [921542, 9]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 3, "vc": [4, 9, 19, 10, 12, 12, 9, 5, 8, 13], "hlc": [921542, 2]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 7, "vc": [4, 1, 1, 13, 2, 2, 2, 7, 1, 3], "hlc": [921542, 4]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 3, "vc": [4, 12, 12, 8, 16, 15, 11, 6, 8, 3], "hlc": [921542, 8]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 6, "vc": [9, 15, 12, 8, 14, 11, 11, 9, 11, 16], "hlc": [921544, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 2, "vc": [9, 6, 10, 8, 10, 13, 4, 2, 14, 9], "hlc": [921540, 9]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 8, "vc": [9, 9, 20, 10, 12, 13, 9, 5, 14, 13], "hlc": [921543, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 1, "vc": [11, 17, 12, 14, 14, 11, 11, 7, 11, 16], "hlc": [921542, 10]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 2, "vc": [11, 17, 19, 15, 14, 12, 11, 7, 11, 16], "hlc": [921542, 11]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 5, "vc": [11, 17, 19, 16, 16, 15, 11, 7, 11, 16], "hlc": [921542, 12]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 7, "vc": [10, 15, 16, 10, 14, 11, 15, 9, 12, 18], "hlc": [921544, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 3, "vc": [9, 15, 12, 13, 14, 11, 11, 10, 11, 16], "hlc": [921544, 2]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 0, "vc": [12, 6, 10, 8, 10, 13, 4, 2, 15, 9], "hlc": [921540, 10]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 8, "vc": [11, 18, 12, 8, 14, 11, 11, 6, 11, 16], "hlc": [921542, 10]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 9, "vc": [9, 9, 21, 10, 12, 13, 9, 5, 14, 13], "hlc": [921543, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 0, "vc": [11, 17, 19, 17, 16, 15, 11, 7, 11, 16], "hlc": [921542, 13]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 7, "vc": [4, 12, 18, 10, 18, 12, 11, 6, 8, 13], "hlc": [921542, 8]}
