INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 48300, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 2.5, actual clock drifts: [1.4760390548873974, -1.4678991170659645, -1.344117002502447, -0.05486286985758593, 2.447899180652379, 2.498927778112341, -1.2929762802271965, 1.3533827220230576, 0.03667206557709424, 1.4477243663396049]
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 9, "vc": [17, 7, 6, 6, 15, 6, 9, 10, 7, 5], "hlc": [921531, 3]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 5, "vc": [9, 16, 7, 6, 7, 8, 12, 6, 10, 8], "hlc": [921530, 6]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [13, 7, 6, 12, 13, 6, 14, 10, 7, 14], "hlc": [921530, 6]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 3, "vc": [15, 7, 6, 6, 17, 6, 9, 10, 7, 5], "hlc": [921532, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [13, 15, 7, 6, 9, 8, 18, 6, 10, 11], "hlc": [921530, 7]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 3, "vc": [14, 7, 6, 6, 9, 6, 9, 14, 7, 5], "hlc": [921531, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 2, "vc": [13, 7, 6, 6, 13, 6, 14, 10, 7, 15], "hlc": [921531, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [13, 9, 10, 12, 13, 6, 14, 10, 7, 14], "hlc": [921530, 7]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [13, 15, 11, 12, 13, 8, 18, 10, 10, 14], "hlc": [921530, 8]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 9, "vc": [13, 15, 12, 12, 13, 8, 18, 10, 10, 15], "hlc": [921531, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 4, "vc": [15, 7, 6, 13, 17, 6, 14, 10, 7, 14], "hlc": [921532, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 7, "vc": [15, 7, 6, 14, 17, 6, 14, 14, 7, 14], "hlc": [921532, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 1, "vc": [10, 16, 7, 10, 11, 14, 13, 11, 10, 8], "hlc": [921532, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 0, "vc": [17, 7, 6, 6, 15, 6, 14, 10, 7, 16], "hlc": [921531, 4]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 8, "vc": [9, 17, 7, 6, 7, 8, 12, 6, 10, 8], "hlc": [921530, 7]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 5, "vc": [13, 15, 13, 12, 13, 8, 18, 10, 10, 15], "hlc": [921531, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [15, 7, 6, 6, 18, 6, 9, 10, 7, 5], "hlc": [921532, 2]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 2, "vc": [10, 16, 7, 10, 11, 15, 13, 11, 10, 8], "hlc": [921532, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 8, "vc": [17, 7, 6, 6, 15, 6, 14, 10, 7, 17], "hlc": [921531, 5]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 4, "vc": [15, 18, 7, 6, 18, 8, 12, 10, 10, 8], "hlc": [921532, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 5, "vc": [13, 16, 14, 12, 13, 15, 18, 11, 10, 15], "hlc": [921532, 2]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 2, "vc": [13, 16, 13, 12, 13, 16, 18, 11, 10, 15], "hlc": [921533, 0]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 1, "vc": [10, 17, 7, 6, 14, 8, 12, 12, 13, 8], "hlc": [921531, 3]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 9, "vc": [17, 17, 7, 6, 15, 8, 14, 12, 14, 17], "hlc": [921531, 6]}
