INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 44500, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 6.5, actual clock drifts: [4.934065913022955, 4.321506688542689, -0.7359559431406693, -0.4020311310230609, -2.8844492468372165, 6.211208571283658, -5.636824231886484, 3.7072094771019, -2.398418839343095, -2.7461644659817117]
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 0, "vc": [8, 6, 8, 17, 6, 10, 11, 1, 9, 14], "hlc": [921698, 7]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [6, 6, 8, 13, 2, 0, 15, 5, 9, 13], "hlc": [921696, 2]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [7, 2, 1, 7, 0, 0, 8, 1, 12, 3], "hlc": [921696, 2]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 1, "vc": [6, 6, 11, 13, 6, 7, 13, 1, 9, 17], "hlc": [921698, 6]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 3, "vc": [11, 6, 9, 17, 9, 10, 11, 1, 10, 14], "hlc": [921698, 8]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 9, "vc": [6, 10, 11, 13, 6, 7, 13, 3, 9, 17], "hlc": [921698, 7]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [8, 6, 8, 18, 6, 10, 15, 5, 9, 14], "hlc": [921698, 8]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [8, 6, 8, 19, 6, 10, 15, 5, 12, 14], "hlc": [921698, 9]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 0, "vc": [10, 6, 11, 13, 9, 7, 13, 1, 10, 18], "hlc": [921698, 7]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [12, 6, 9, 17, 9, 10, 11, 1, 10, 14], "hlc": [921698, 9]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 8, "vc": [6, 11, 11, 13, 6, 7, 13, 3, 9, 17], "hlc": [921698, 8]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [8, 6, 8, 20, 6, 10, 15, 5, 12, 14], "hlc": [921698, 10]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 5, "vc": [4, 9, 8, 11, 2, 0, 10, 7, 9, 11], "hlc": [921697, 0]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [12, 6, 9, 17, 11, 10, 11, 1, 10, 14], "hlc": [921698, 10]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [8, 6, 8, 20, 6, 12, 15, 5, 12, 14], "hlc": [921700, 0]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 7, "vc": [8, 9, 8, 20, 6, 13, 15, 7, 12, 14], "hlc": [921700, 1]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 1, "vc": [7, 11, 11, 13, 6, 7, 13, 3, 13, 17], "hlc": [921698, 9]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [6, 12, 11, 13, 6, 7, 13, 3, 9, 17], "hlc": [921698, 9]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 6, "vc": [5, 3, 13, 11, 10, 7, 8, 1, 10, 8], "hlc": [921698, 5]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 1, "vc": [8, 6, 8, 21, 6, 10, 15, 5, 12, 14], "hlc": [921698, 11]}
