INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 41800, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 9.5, actual clock drifts: [5.480424219494598, -9.231175906599294, 3.1231980112937663, 8.535423921479932, 6.595823411711919, -1.3379105014714963, 0.4264611855407878, -6.819227306629036, 2.8346040311422573, -0.6379613963726758]
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 3, "vc": [8, 8, 3, 15, 1, 9, 13, 12, 11, 4], "hlc": [921742, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 9, "vc": [8, 7, 4, 7, 10, 12, 11, 14, 16, 14], "hlc": [921740, 4]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 1, "vc": [8, 11, 4, 7, 10, 12, 11, 10, 16, 15], "hlc": [921740, 4]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 8, "vc": [8, 11, 4, 7, 10, 12, 11, 10, 20, 16], "hlc": [921740, 5]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 3, "vc": [10, 0, 0, 5, 1, 11, 4, 7, 5, 0], "hlc": [921740, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 2, "vc": [3, 12, 0, 1, 1, 2, 0, 3, 2, 0], "hlc": [921736, 11]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [8, 7, 4, 7, 12, 9, 10, 13, 11, 8], "hlc": [921741, 0]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 4, "vc": [6, 0, 0, 5, 1, 13, 4, 7, 5, 0], "hlc": [921738, 12]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 0, "vc": [8, 8, 3, 15, 1, 9, 14, 12, 11, 4], "hlc": [921742, 3]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 9, "vc": [8, 7, 4, 7, 10, 12, 11, 15, 16, 14], "hlc": [921740, 5]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 1, "vc": [8, 10, 1, 7, 6, 9, 9, 10, 21, 7], "hlc": [921739, 9]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 0, "vc": [8, 11, 4, 7, 10, 12, 11, 10, 20, 17], "hlc": [921740, 6]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [11, 7, 4, 7, 12, 11, 10, 13, 11, 8], "hlc": [921741, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 6, "vc": [12, 8, 4, 15, 12, 11, 14, 13, 11, 8], "hlc": [921742, 4]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 9, "vc": [13, 11, 4, 15, 12, 12, 14, 13, 20, 17], "hlc": [921742, 5]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 8, "vc": [8, 13, 1, 7, 6, 9, 9, 10, 21, 7], "hlc": [921739, 10]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 1, "vc": [8, 12, 8, 13, 6, 9, 12, 10, 18, 7], "hlc": [921741, 5]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 0, "vc": [10, 8, 3, 16, 1, 11, 10, 12, 11, 4], "hlc": [921743, 0]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 5, "vc": [8, 7, 4, 7, 13, 13, 10, 13, 11, 8], "hlc": [921741, 1]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 7, "vc": [8, 11, 4, 7, 10, 12, 11, 15, 20, 18], "hlc": [921740, 7]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 9, "vc": [14, 11, 4, 15, 12, 12, 14, 13, 20, 17], "hlc": [921742, 6]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [8, 14, 1, 7, 6, 9, 9, 10, 21, 7], "hlc": [921739, 11]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 0, "vc": [8, 12, 9, 13, 6, 9, 12, 10, 18, 7], "hlc": [921741, 6]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [10, 8, 3, 17, 1, 11, 10, 12, 11, 4], "hlc": [921743, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [8, 7, 4, 7, 14, 13, 10, 13, 11, 8], "hlc": [921741, 2]}
