INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 45900, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 1.5, actual clock drifts: [0.9597124974850475, 0.6468394492244554, -1.3016824811378456, 0.9856248029604497, 0.16959612478525798, 0.7963334911451918, -1.1794142461013, 0.24045884814160345, -1.3706571917734398, 0.862760447632974]
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [7, 9, 1, 6, 8, 4, 13, 9, 2, 2], "hlc": [921212, 2]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 9, "vc": [5, 19, 6, 9, 12, 2, 8, 17, 2, 9], "hlc": [921213, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [4, 15, 11, 7, 8, 2, 8, 11, 8, 9], "hlc": [921211, 11]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 3, "vc": [2, 11, 6, 7, 4, 2, 5, 5, 2, 11], "hlc": [921213, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [8, 19, 6, 9, 14, 2, 8, 15, 2, 9], "hlc": [921214, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 1, "vc": [5, 22, 6, 16, 11, 2, 8, 14, 5, 10], "hlc": [921214, 3]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [7, 22, 6, 17, 11, 4, 13, 14, 5, 10], "hlc": [921214, 4]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 9, "vc": [7, 22, 6, 18, 11, 4, 13, 14, 5, 11], "hlc": [921214, 5]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [5, 19, 12, 9, 15, 2, 8, 15, 2, 9], "hlc": [921213, 2]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [6, 21, 10, 15, 11, 11, 9, 14, 6, 10], "hlc": [921214, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [6, 21, 11, 15, 11, 12, 9, 14, 8, 10], "hlc": [921214, 4]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 5, "vc": [6, 15, 10, 12, 11, 10, 9, 11, 6, 12], "hlc": [921214, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 7, "vc": [6, 19, 10, 12, 12, 10, 9, 17, 6, 13], "hlc": [921214, 1]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [9, 19, 6, 9, 14, 2, 8, 15, 2, 9], "hlc": [921214, 1]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 8, "vc": [4, 15, 13, 7, 8, 2, 8, 11, 2, 9], "hlc": [921212, 0]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 1, "vc": [7, 22, 6, 19, 11, 4, 13, 14, 5, 11], "hlc": [921214, 6]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 9, "vc": [6, 21, 11, 15, 11, 13, 9, 14, 8, 10], "hlc": [921214, 5]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [7, 9, 1, 6, 8, 4, 14, 9, 2, 2], "hlc": [921212, 3]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 2, "vc": [6, 19, 10, 12, 12, 10, 9, 17, 6, 14], "hlc": [921214, 2]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 3, "vc": [7, 23, 6, 19, 11, 4, 13, 14, 5, 11], "hlc": [921214, 7]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [7, 15, 14, 7, 8, 4, 14, 11, 2, 9], "hlc": [921212, 4]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 9, "vc": [7, 19, 15, 12, 12, 10, 14, 17, 6, 14], "hlc": [921214, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [9, 19, 6, 9, 14, 2, 8, 18, 2, 9], "hlc": [921214, 2]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 2, "vc": [4, 15, 13, 7, 8, 2, 8, 11, 9, 9], "hlc": [921212, 1]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 5, "vc": [6, 21, 11, 15, 12, 13, 9, 17, 8, 15], "hlc": [921214, 6]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 7, "vc": [6, 21, 11, 15, 11, 14, 9, 14, 8, 10], "hlc": [921214, 6]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 5, "vc": [7, 9, 1, 6, 8, 4, 15, 9, 2, 2], "hlc": [921212, 4]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 6, "vc": [9, 19, 6, 9, 14, 2, 8, 19, 2, 9], "hlc": [921214, 3]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 2, "vc": [6, 21, 11, 15, 12, 13, 9, 17, 8, 16], "hlc": [921214, 7]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 9, "vc": [7, 21, 16, 15, 12, 13, 14, 17, 8, 16], "hlc": [921214, 8]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 6, "vc": [7, 21, 11, 15, 11, 15, 15, 14, 8, 10], "hlc": [921215, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 7, "vc": [9, 19, 6, 9, 14, 4, 16, 19, 2, 9], "hlc": [921214, 4]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 5, "vc": [9, 21, 11, 15, 14, 14, 9, 20, 8, 10], "hlc": [921214, 7]}
