INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 38900, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 3.5, actual clock drifts: [0.451317948914463, -2.5030623254411446, 3.2688883761473253, 0.6052339151026747, -3.444486011903686, -3.0410168546161036, 1.7194204890545501, 2.3335325413453205, 2.038787694054383, 0.20562597648524283]
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 1, "vc": [2, 3, 10, 0, 7, 0, 8, 1, 2, 6], "hlc": [921541, 8]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 4, "vc": [2, 3, 10, 0, 7, 4, 7, 1, 8, 6], "hlc": [921541, 9]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 6, "vc": [5, 7, 10, 3, 7, 1, 8, 5, 5, 6], "hlc": [921541, 9]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 2, "vc": [2, 2, 12, 5, 7, 3, 1, 1, 5, 1], "hlc": [921542, 2]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 8, "vc": [2, 3, 10, 4, 13, 4, 7, 1, 8, 6], "hlc": [921541, 10]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [2, 3, 10, 4, 12, 7, 5, 1, 5, 7], "hlc": [921541, 9]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [8, 5, 4, 3, 10, 2, 3, 6, 5, 1], "hlc": [921542, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 5, "vc": [2, 3, 10, 0, 7, 6, 5, 1, 2, 8], "hlc": [921541, 9]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 8, "vc": [9, 5, 4, 1, 10, 2, 3, 1, 1, 1], "hlc": [921540, 11]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 4, "vc": [5, 8, 10, 3, 7, 1, 8, 5, 5, 6], "hlc": [921541, 10]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 9, "vc": [2, 2, 13, 0, 7, 3, 1, 1, 0, 1], "hlc": [921543, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [2, 3, 10, 4, 14, 4, 7, 1, 8, 6], "hlc": [921541, 11]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 1, "vc": [2, 3, 10, 4, 12, 8, 5, 1, 5, 7], "hlc": [921541, 10]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [2, 3, 10, 0, 7, 0, 9, 1, 2, 6], "hlc": [921541, 9]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 0, "vc": [8, 5, 4, 3, 10, 2, 3, 7, 5, 1], "hlc": [921542, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [2, 3, 10, 0, 7, 4, 7, 1, 9, 6], "hlc": [921542, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 2, "vc": [2, 3, 10, 0, 7, 6, 5, 1, 2, 9], "hlc": [921541, 10]}
