INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 32600, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 5.5, actual clock drifts: [4.582578087136238, 4.661347241719875, -2.6072762978053583, 4.244477923692438, 0.30801109752202205, 2.319896196745588, 3.768277303612054, -2.98536925244487, -3.2981121699556466, 1.7669213966819166]
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 1, "vc": [11, 5, 6, 5, 7, 15, 9, 8, 6, 8], "hlc": [921578, 7]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [11, 11, 6, 5, 6, 11, 14, 7, 6, 8], "hlc": [921579, 3]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 8, "vc": [11, 5, 6, 5, 6, 4, 7, 9, 6, 8], "hlc": [921578, 6]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [13, 10, 6, 5, 6, 11, 9, 2, 11, 5], "hlc": [921579, 3]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 3, "vc": [9, 5, 5, 6, 9, 13, 9, 2, 6, 13], "hlc": [921577, 9]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 5, "vc": [11, 12, 6, 5, 7, 15, 9, 8, 6, 8], "hlc": [921580, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 0, "vc": [16, 10, 13, 10, 8, 11, 11, 4, 9, 10], "hlc": [921580, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [11, 11, 6, 11, 6, 11, 14, 7, 6, 8], "hlc": [921580, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [13, 11, 6, 12, 6, 11, 14, 7, 11, 8], "hlc": [921580, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 9, "vc": [13, 11, 6, 13, 9, 13, 14, 7, 11, 13], "hlc": [921580, 2]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 7, "vc": [13, 10, 6, 5, 6, 11, 9, 9, 12, 8], "hlc": [921579, 4]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [11, 13, 6, 5, 7, 15, 9, 8, 6, 8], "hlc": [921580, 1]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 3, "vc": [16, 10, 14, 10, 8, 11, 11, 4, 9, 10], "hlc": [921580, 3]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 0, "vc": [13, 10, 6, 5, 6, 11, 9, 9, 13, 8], "hlc": [921579, 5]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 5, "vc": [9, 5, 5, 6, 9, 13, 9, 2, 6, 14], "hlc": [921577, 10]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 8, "vc": [17, 10, 6, 6, 8, 11, 9, 9, 13, 10], "hlc": [921581, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 2, "vc": [16, 11, 14, 14, 9, 13, 14, 7, 11, 13], "hlc": [921580, 4]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 9, "vc": [11, 5, 6, 6, 9, 16, 9, 8, 6, 14], "hlc": [921578, 8]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [11, 13, 6, 5, 7, 15, 15, 8, 6, 8], "hlc": [921580, 2]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 6, "vc": [18, 10, 6, 6, 8, 11, 9, 9, 13, 10], "hlc": [921581, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 2, "vc": [0, 1, 1, 0, 10, 1, 5, 0, 2, 0], "hlc": [921576, 0]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 9, "vc": [11, 5, 6, 6, 9, 17, 9, 8, 6, 14], "hlc": [921578, 9]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 4, "vc": [11, 13, 6, 5, 7, 15, 16, 8, 6, 8], "hlc": [921580, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 4, "vc": [16, 10, 15, 10, 10, 11, 11, 4, 9, 10], "hlc": [921580, 4]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 6, "vc": [11, 13, 6, 5, 11, 15, 16, 8, 6, 8], "hlc": [921580, 4]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 0, "vc": [18, 13, 6, 6, 8, 15, 17, 9, 13, 10], "hlc": [921581, 2]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 5, "vc": [11, 5, 6, 6, 9, 17, 9, 8, 6, 15], "hlc": [921578, 10]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [19, 10, 6, 6, 8, 11, 9, 9, 13, 10], "hlc": [921581, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 2, "vc": [11, 14, 6, 5, 7, 15, 9, 8, 6, 8], "hlc": [921581, 0]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 6, "vc": [16, 10, 16, 10, 10, 11, 11, 4, 9, 10], "hlc": [921580, 5]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [11, 13, 6, 5, 12, 15, 16, 8, 6, 8], "hlc": [921580, 5]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 4, "vc": [11, 5, 6, 6, 9, 18, 9, 8, 6, 14], "hlc": [921579, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 4, "vc": [11, 15, 6, 5, 12, 15, 16, 8, 6, 8], "hlc": [921582, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 1, "vc": [16, 14, 17, 10, 10, 15, 11, 8, 9, 10], "hlc": [921581, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 5, "vc": [11, 13, 6, 6, 13, 18, 16, 8, 6, 14], "hlc": [921580, 6]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 0, "vc": [19, 10, 6, 6, 9, 19, 9, 9, 13, 14], "hlc": [921581, 3]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 2, "vc": [18, 13, 16, 10, 10, 15, 18, 9, 13, 10], "hlc": [921581, 3]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [20, 10, 6, 6, 8, 11, 9, 9, 13, 10], "hlc": [921582, 0]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 3, "vc": [11, 13, 6, 6, 14, 18, 16, 8, 6, 14], "hlc": [921580, 7]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 0, "vc": [19, 10, 6, 6, 9, 20, 9, 9, 13, 14], "hlc": [921581, 4]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 9, "vc": [18, 13, 16, 10, 10, 15, 19, 9, 13, 10], "hlc": [921581, 4]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 1, "vc": [13, 10, 6, 5, 6, 11, 9, 9, 14, 8], "hlc": [921579, 6]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 7, "vc": [11, 5, 6, 6, 9, 17, 9, 8, 6, 16], "hlc": [921579, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 5, "vc": [21, 10, 6, 6, 9, 20, 9, 9, 13, 14], "hlc": [921582, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 8, "vc": [13, 16, 6, 5, 12, 15, 16, 9, 14, 8], "hlc": [921582, 1]}
