INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 60600, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 9.5, actual clock drifts: [7.999770279463277, -3.181810852089362, -8.06894121172104, 4.0464282901894695, -0.5252321431411922, 7.551715214138667, 2.367465263375582, 8.287410226459514, -1.1854641268384878, -6.760127648980847]
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 9, "vc": [1, 2, 4, 1, 2, 0, 11, 2, 1, 1], "hlc": [921740, 10]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 6, "vc": [0, 3, 8, 0, 0, 1, 0, 1, 7, 3], "hlc": [921740, 10]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 0, "vc": [8, 2, 5, 11, 3, 5, 10, 7, 4, 5], "hlc": [921742, 7]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 5, "vc": [5, 0, 0, 0, 7, 6, 1, 2, 0, 0], "hlc": [921742, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 3, "vc": [6, 2, 5, 10, 3, 5, 12, 7, 4, 5], "hlc": [921742, 7]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 8, "vc": [6, 3, 8, 10, 3, 5, 13, 7, 7, 5], "hlc": [921742, 8]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 4, "vc": [5, 3, 8, 0, 6, 4, 1, 2, 8, 3], "hlc": [921741, 5]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 6, "vc": [1, 2, 5, 1, 3, 0, 11, 2, 1, 7], "hlc": [921740, 11]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [9, 2, 4, 1, 2, 3, 10, 2, 1, 1], "hlc": [921743, 0]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 4, "vc": [6, 3, 8, 10, 3, 5, 14, 7, 7, 5], "hlc": [921742, 9]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 8, "vc": [3, 0, 0, 2, 0, 2, 1, 9, 2, 0], "hlc": [921743, 0]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 6, "vc": [6, 3, 8, 10, 8, 6, 14, 7, 7, 5], "hlc": [921742, 10]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [9, 2, 4, 2, 2, 3, 10, 10, 2, 1], "hlc": [921744, 0]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 7, "vc": [5, 3, 8, 2, 6, 4, 1, 9, 9, 3], "hlc": [921743, 1]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [10, 2, 4, 1, 2, 3, 10, 2, 1, 1], "hlc": [921743, 1]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [3, 6, 0, 2, 0, 2, 1, 8, 5, 0], "hlc": [921742, 4]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 7, "vc": [8, 2, 5, 12, 3, 5, 10, 7, 4, 5], "hlc": [921742, 8]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 4, "vc": [0, 0, 0, 0, 0, 7, 0, 0, 0, 0], "hlc": [921743, 0]}
