INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 32400, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 5.5, actual clock drifts: [-4.877925451580871, 5.363436442338402, -4.029235270109824, -1.3411864748572855, -2.14275789177532, -3.7701298154795695, -4.699692344505957, -2.71360002835131, -5.085700452647195, -0.937748729269515]
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 2, "vc": [10, 12, 8, 2, 9, 4, 2, 13, 4, 6], "hlc": [921578, 6]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 4, "vc": [4, 5, 5, 1, 12, 1, 8, 6, 7, 3], "hlc": [921576, 12]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [5, 14, 2, 2, 6, 4, 2, 9, 1, 6], "hlc": [921579, 0]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 1, "vc": [4, 9, 0, 8, 0, 2, 6, 3, 6, 0], "hlc": [921577, 9]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 5, "vc": [4, 5, 5, 1, 1, 1, 10, 3, 5, 0], "hlc": [921576, 10]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 9, "vc": [4, 5, 5, 1, 12, 1, 8, 6, 8, 3], "hlc": [921576, 13]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 4, "vc": [5, 5, 0, 1, 0, 0, 5, 3, 1, 9], "hlc": [921576, 8]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 3, "vc": [5, 15, 2, 8, 6, 4, 6, 9, 6, 6], "hlc": [921580, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 1, "vc": [5, 14, 2, 9, 6, 4, 6, 9, 6, 6], "hlc": [921579, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 9, "vc": [5, 5, 5, 1, 13, 0, 8, 6, 2, 9], "hlc": [921576, 12]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 6, "vc": [7, 9, 5, 6, 6, 11, 10, 8, 5, 5], "hlc": [921577, 10]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 8, "vc": [5, 5, 5, 1, 12, 1, 8, 6, 8, 10], "hlc": [921576, 14]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [5, 16, 2, 8, 6, 4, 6, 9, 6, 6], "hlc": [921580, 1]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 1, "vc": [10, 9, 10, 4, 8, 9, 2, 8, 4, 5], "hlc": [921577, 10]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [5, 14, 2, 10, 6, 4, 6, 9, 6, 6], "hlc": [921579, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 6, "vc": [5, 5, 5, 1, 14, 0, 8, 6, 2, 9], "hlc": [921576, 13]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 6, "vc": [5, 5, 5, 1, 12, 1, 8, 6, 8, 11], "hlc": [921576, 15]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [10, 17, 10, 8, 8, 9, 6, 9, 6, 6], "hlc": [921580, 2]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [5, 16, 5, 8, 6, 4, 11, 9, 6, 6], "hlc": [921580, 2]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 4, "vc": [5, 16, 5, 8, 14, 4, 12, 9, 6, 9], "hlc": [921580, 3]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [5, 16, 5, 8, 14, 4, 13, 9, 8, 11], "hlc": [921580, 4]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [5, 14, 5, 10, 12, 4, 8, 9, 8, 12], "hlc": [921579, 3]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [13, 7, 2, 2, 10, 1, 5, 6, 4, 8], "hlc": [921577, 9]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 9, "vc": [10, 18, 10, 8, 8, 9, 6, 9, 6, 6], "hlc": [921580, 3]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 7, "vc": [5, 14, 2, 11, 6, 4, 6, 9, 6, 6], "hlc": [921579, 3]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 1, "vc": [5, 16, 5, 8, 14, 4, 14, 9, 8, 11], "hlc": [921580, 5]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 4, "vc": [10, 12, 8, 2, 9, 4, 2, 14, 4, 6], "hlc": [921578, 7]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [4, 5, 5, 1, 12, 1, 8, 6, 9, 3], "hlc": [921576, 14]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 8, "vc": [5, 14, 5, 10, 12, 4, 8, 9, 8, 13], "hlc": [921579, 4]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 6, "vc": [10, 19, 10, 8, 14, 9, 14, 9, 8, 11], "hlc": [921581, 0]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 7, "vc": [10, 12, 8, 2, 15, 4, 8, 14, 4, 9], "hlc": [921578, 8]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 0, "vc": [13, 9, 5, 6, 10, 12, 10, 8, 5, 8], "hlc": [921577, 11]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [13, 9, 5, 6, 12, 13, 10, 8, 9, 8], "hlc": [921577, 12]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 3, "vc": [10, 14, 8, 11, 9, 4, 6, 15, 6, 6], "hlc": [921579, 4]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 9, "vc": [5, 14, 5, 10, 12, 4, 8, 9, 10, 13], "hlc": [921579, 5]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 1, "vc": [10, 18, 10, 10, 12, 9, 8, 9, 8, 14], "hlc": [921580, 4]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 7, "vc": [10, 9, 11, 4, 8, 9, 2, 8, 4, 5], "hlc": [921577, 11]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [5, 14, 2, 12, 6, 4, 6, 9, 6, 6], "hlc": [921579, 4]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 6, "vc": [10, 12, 8, 2, 16, 4, 8, 14, 4, 9], "hlc": [921578, 9]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 2, "vc": [13, 9, 5, 6, 12, 14, 10, 8, 9, 8], "hlc": [921577, 13]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [5, 16, 5, 8, 14, 4, 15, 9, 8, 11], "hlc": [921580, 6]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 8, "vc": [10, 14, 8, 11, 9, 4, 6, 16, 6, 6], "hlc": [921579, 5]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [5, 14, 5, 10, 12, 4, 8, 9, 11, 13], "hlc": [921579, 6]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 6, "vc": [10, 18, 10, 10, 12, 9, 8, 9, 8, 15], "hlc": [921580, 5]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [10, 14, 12, 12, 8, 9, 6, 9, 6, 6], "hlc": [921579, 5]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 5, "vc": [13, 14, 13, 12, 12, 14, 10, 9, 9, 8], "hlc": [921579, 6]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [5, 16, 5, 13, 14, 4, 15, 9, 8, 11], "hlc": [921580, 7]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 8, "vc": [13, 14, 5, 10, 12, 15, 10, 9, 11, 13], "hlc": [921579, 7]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 4, "vc": [10, 16, 8, 8, 16, 4, 16, 14, 8, 11], "hlc": [921580, 7]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [10, 18, 10, 10, 16, 9, 17, 14, 8, 15], "hlc": [921580, 8]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 2, "vc": [10, 14, 11, 11, 9, 9, 6, 17, 6, 6], "hlc": [921579, 6]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 7, "vc": [10, 14, 8, 11, 12, 4, 8, 16, 12, 13], "hlc": [921579, 7]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 9, "vc": [14, 7, 2, 2, 10, 1, 5, 6, 4, 8], "hlc": [921577, 10]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 7, "vc": [10, 20, 10, 8, 14, 9, 14, 9, 8, 11], "hlc": [921581, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 6, "vc": [10, 12, 8, 2, 17, 4, 8, 14, 4, 9], "hlc": [921578, 10]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 0, "vc": [13, 14, 5, 10, 12, 16, 10, 9, 11, 13], "hlc": [921579, 8]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 0, "vc": [10, 18, 10, 10, 16, 9, 18, 14, 8, 15], "hlc": [921580, 9]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 6, "vc": [10, 14, 11, 11, 9, 9, 6, 18, 6, 6], "hlc": [921579, 7]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 0, "vc": [10, 14, 8, 11, 12, 4, 8, 16, 13, 13], "hlc": [921579, 8]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 8, "vc": [10, 18, 10, 10, 12, 9, 8, 9, 8, 16], "hlc": [921580, 6]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 5, "vc": [15, 14, 5, 10, 12, 16, 10, 9, 11, 13], "hlc": [921579, 9]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 6, "vc": [16, 18, 10, 10, 16, 16, 18, 14, 11, 15], "hlc": [921580, 10]}
